"K1","K2","K3","K1-Transform","Simple Bets","Extreme Edge - Transformed","LMER Agreement","Extreme Edge - Simple","Martingale"
80,80,118.181818181818,91.578396,80,91.578396,80,80,95
80,80,125.624767489171,91.578396,80,91.578396,80,80,95
64,90.1090909090909,148.465634305383,85.936870092397,68.88,85.936870092397,80,60,84
56.448,102.871814876033,169.083008448362,84.7402851132304,54.8410036363637,84.7402851132304,80,50,60.9
54.528768,101.534481282645,169.083008448362,84.6423253436395,53.5036700429752,84.7402851132304,78.12,50,12.39
52.4603100672,95.9771606737745,173.449714537168,84.2769402250318,47.9463494341051,84.3744771205832,67.26132,40,0
52.4793865435881,85.4580638639288,170.349875700581,84.2769524834958,57.509164715783,84.3744771205832,67.26132,40,0
52.4793865435881,85.4580638639288,170.349875700581,84.2769524834958,57.509164715783,84.3744771205832,67.26132,40,0
43.8622712731309,92.993911313748,190.656024884924,82.0047076303387,49.2197325209819,82.0996028432698,67.26132,30,0
38.5023017235543,90.2226927565983,199.173185670871,80.7801444520481,46.4485139638323,80.8736226099477,62.14945968,20,0
34.9292881236085,99.2121537803467,216.01698868421,80.0844787728501,36.5601068377091,80.8736226099477,62.14945968,20,0
35.0753560557618,79.3697230242773,216.01698868421,80.0860193070054,54.5986802523176,80.8736226099477,62.14945968,20,0
41.4526935204457,79.3697230242773,176.01698868421,87.3285009037019,54.5986802523176,88.1873301519016,70.35883830864,38.1818181818182,0
36.735376997819,79.3697230242773,188.639375514285,86.1975583924585,54.5986802523176,87.0452654240093,66.4891022016648,28.1818181818182,0
43.4145364519679,81.5199209752987,150.911500411428,95.5137152765554,56.7488782033389,96.4530417442591,77.8103829674574,46.3636363636364,0
41.5737601064045,80.4601620026198,152.718720109074,95.3420045397798,55.68911923066,96.4530417442591,75.6550353592588,46.3636363636364,0
33.2590080851236,83.5615355198117,180.485760128905,76.410957137244,52.2776083617489,77.3013875054657,75.6550353592588,26.3636363636364,0
39.3061004642369,81.0714017613213,144.388608103124,80.6901958019307,54.5413663240129,81.630492893495,75.6550353592588,44.5454545454545,0
36.3188368289549,64.857121409057,129.584863418587,80.2241292309788,38.3270859717486,81.630492893495,64.1857319987952,44.5454545454545,0
42.9222617069467,65.1283420985858,134.304941197831,88.2725668615992,38.5983066612774,89.8200231147392,74.0119840611562,62.7272727272727,0
41.1138037470274,63.751963135569,139.370460619293,87.8024577716508,37.2219276982607,89.3416728092381,66.9882467737525,52.7272727272727,0
40.9246802497911,51.1418248273535,139.370460619293,87.8005998716444,24.6117893900451,89.3416728092381,60.2090362002487,52.7272727272727,0
40.9246802497911,51.1418248273535,139.370460619293,87.8005998716444,24.6117893900451,89.3416728092381,60.2090362002487,52.7272727272727,0
38.1963682331383,51.7989197887716,147.81715520228,85.4066872492774,23.8889849324852,86.9057423195366,60.2090362002487,32.7272727272727,0
38.2102578215867,57.5533088780333,141.789973963174,85.4066996720682,29.6433740217469,86.9057423195366,63.5643215812262,32.7272727272727,0
40.5584518477133,53.904429095166,135.249844837302,85.7615070537895,32.9605374607172,86.9057423195366,63.5643215812262,32.7272727272727,0
40.5584518477133,49.1284966773343,135.249844837302,85.7615070537895,37.3022942042005,86.9057423195366,63.5643215812262,32.7272727272727,0
40.5633680236949,51.0727941518979,135.249844837302,85.7615112119232,39.2465916787641,86.9057423195366,67.3492880026538,32.7272727272727,0
47.9385258461849,54.9914703577344,108.199875869842,96.434921107298,43.1652678846007,97.7215569773044,79.5946130940454,50.9090909090909,0
38.3508206769479,54.9914703577344,127.872580573449,87.5930114903994,43.1652678846007,88.7616784966184,68.1966644989781,30.9090909090909,0
36.7247458802453,52.6598320145665,136.002153938822,87.4355402780625,40.8336295414327,88.7616784966184,65.3051259242214,30.9090909090909,0
38.224896105899,54.9449495735016,130.837731829768,87.9169932174001,43.1187471003679,89.2504336512939,73.5573191091912,40,0
36.9252496382984,47.999907947411,130.837731829768,87.8153611732408,36.1737054742773,89.2504336512939,67.6580221166341,40,0
36.9252496382984,43.142317263133,130.837731829768,87.8153611732408,31.3161147899993,89.2504336512939,64.363076439554,40,0
